Instance,LOX_Min,LOX_Avg,LOX_Max,LOX_Std,LOX_AvgGen,LOX_AvgTime,LOX_ls_Min,LOX_ls_Avg,LOX_ls_Max,LOX_ls_Std,LOX_ls_AvgGen,LOX_ls_AvgTime
tai100_10_1,5805,5828.15,5856,15.40,897.00,1.70,5806,5825.50,5845,11.96,879.00,1.69,
tai100_20_1,6469,6508.50,6555,25.79,897.00,2.98,6460,6506.90,6573,27.42,878.30,2.97,
tai100_5_1,5493,5495.10,5505,3.52,897.00,1.17,5493,5495.95,5514,5.54,878.95,1.13,
tai20_10_1,1583,1597.25,1615,10.00,995.00,0.73,1586,1596.20,1609,7.08,973.45,0.73,
tai20_20_1,2310,2324.40,2344,10.18,995.00,0.99,2312,2329.85,2344,8.41,973.45,0.98,
tai20_5_1,1278,1279.60,1286,3.02,995.00,0.56,1278,1278.80,1286,2.46,975.25,0.57,
tai50_10_1,3074,3112.50,3138,22.52,973.00,1.14,3057,3092.90,3126,22.07,953.00,1.12,
tai50_20_1,3956,3978.10,4008,13.63,973.00,1.77,3959,3983.00,3997,12.43,952.85,1.75,
tai50_5_1,2729,2729.10,2731,0.45,973.00,0.78,2729,2729.00,2729,0.00,953.95,0.77,
