Instance,LOX_Min,LOX_Avg,LOX_Max,LOX_Std,LOX_AvgGen,LOX_AvgTime,LOX_ls_Min,LOX_ls_Avg,LOX_ls_Max,LOX_ls_Std,LOX_ls_AvgGen,LOX_ls_AvgTime
tai100_10_1,5787,5822.35,5845,13.91,897.00,1.82,5802,5838.30,5866,15.28,288.35,1.52,
tai100_20_1,6460,6502.90,6539,17.16,897.00,3.01,6490,6535.15,6573,24.42,382.75,2.83,
tai100_5_1,5493,5497.15,5516,6.80,897.00,1.26,5493,5499.05,5514,7.51,626.90,1.09,
tai20_10_1,1582,1595.60,1611,9.32,995.00,0.73,1583,1595.55,1614,8.99,463.20,0.59,
tai20_20_1,2301,2322.65,2352,12.33,995.00,0.97,2315,2333.00,2365,13.05,576.70,0.86,
tai20_5_1,1278,1279.00,1286,2.55,995.00,0.56,1278,1279.35,1286,2.94,690.40,0.49,
tai50_10_1,3030,3104.95,3138,31.57,973.00,1.06,3052,3104.00,3138,27.01,501.50,0.91,
tai50_20_1,3951,3977.90,3997,14.92,973.00,1.66,3949,3979.85,4007,18.00,254.30,1.44,
tai50_5_1,2729,2729.00,2729,0.00,973.00,0.79,2729,2729.00,2729,0.00,512.60,0.63,
