data,alpha,beta,rho,Q,T_w,C_w,Dr,score
map3,1.39815,3.67794,0.0628249,152.18,1.00323,5.83714,2.3654,171.152
map3,1.38479,4.17554,0.121022,85.2671,2.03261,1.66658,1.25026,167.047
map3,1.49273,4.03244,0.148714,81.2204,2.16899,1.06888,1.40076,149.88
map3,1.57047,4.31015,0.153012,64.6749,2.52309,1.71171,1.44902,158.342
map3,1.74321,3.83139,0.139093,71.9734,2.06298,1.36761,1.28459,163.364
map4,1.67969,2.88856,0.118442,63.8655,2.13482,1.68856,1.24136,152.59
map4,2.02523,3.79551,0.152413,104.286,2.81052,2.09592,1.24424,164.973
map4,2.10596,2.85564,0.189639,72.7991,2.18617,2.89888,1.21319,143.822
map4,1.64756,3.12777,0.168485,111.411,2.30829,1.89872,1.28924,160.741
map4,1.64849,3.30785,0.13565,91.6498,1.07102,1.68506,1.32243,151.029
map4,1.687,2.5923,0.152673,116.679,2.42708,1.11231,1.29335,155.381
map4,2.01697,3.83544,0.122311,95.2142,2.41461,2.42482,1.33436,175.75
map4,1.59933,3.58278,0.160625,82.2538,1.51926,3.51882,1.38555,149.2
map4,1.60747,1.52857,0.144698,50.369,2.47768,1.29188,1.25232,156.402
map4,1.77721,3.10917,0.158861,111.164,1.85827,1.76425,1.25253,151.686
map4,1.53424,4.06623,0.152574,52.606,1.41681,4.92926,1.39082,157.454
map4,2.1856,2.83923,0.173155,55.5399,1.71674,2.80772,1.3116,137.385
map4,2.12568,3.60414,0.0709418,64.4637,1.26873,6.53966,1.15649,136.331
map4,1.52151,2.46582,0.155736,97.3843,1.44927,5.129,1.44214,177.077
map4,1.78816,2.04569,0.117294,71.2259,2.98039,1.69816,1.36053,180.36
map4,1.90823,3.9734,0.13799,77.556,1.05745,2.19164,1.28998,142.871
map4,1.57537,2.91616,0.177321,106.536,1.04016,4.95887,1.4283,170.492
map4,1.96323,2.86106,0.14999,52.3862,2.41131,1.63416,1.3082,148.37
map4,1.75027,2.88806,0.141932,77.1714,1.97459,2.55677,1.01259,146.652
map4,2.0613,4.71763,0.166954,131.44,1.54016,5.73329,1.13504,138.125
