Instance,LOX_Min,LOX_Avg,LOX_Max,LOX_Std,LOX_AvgGen,LOX_AvgTime,LOX_ls_Min,LOX_ls_Avg,LOX_ls_Max,LOX_ls_Std,LOX_ls_AvgGen,LOX_ls_AvgTime
tai100_10_1,5798,5824.05,5851,16.33,913.05,2.07,5793,5819.35,5837,14.58,805.55,2.00,
tai100_20_1,6479,6513.90,6557,23.94,912.75,3.42,6462,6520.55,6578,31.01,800.25,3.24,
tai100_5_1,5493,5496.45,5512,5.15,913.85,1.43,5493,5497.05,5514,5.95,885.15,1.41,
tai20_10_1,1583,1589.95,1603,5.52,1012.20,0.91,1586,1592.95,1612,7.02,928.65,0.89,
tai20_20_1,2307,2320.40,2339,9.70,1012.20,1.13,2302,2321.70,2342,10.07,903.85,1.10,
tai20_5_1,1278,1278.15,1281,0.67,1013.05,0.69,1278,1278.00,1278,0.00,986.85,0.69,
tai50_10_1,3052,3113.20,3131,25.51,990.50,1.33,3052,3119.05,3131,23.10,900.65,1.29,
tai50_20_1,3952,3975.00,3993,12.65,990.35,2.09,3952,3980.25,4001,12.86,897.20,2.02,
tai50_5_1,2729,2729.00,2729,0.00,991.45,0.93,2729,2729.00,2729,0.00,960.80,0.92,
