Instance,LOX_Min,LOX_Avg,LOX_Max,LOX_Std,LOX_AvgGen,LOX_AvgTime,LOX_ls_Min,LOX_ls_Avg,LOX_ls_Max,LOX_ls_Std,LOX_ls_AvgGen,LOX_ls_AvgTime
tai100_10_1,5793,5824.65,5866,17.61,897.00,1.77,5799,5817.20,5845,14.31,786.70,1.72,
tai100_20_1,6448,6499.15,6556,32.66,897.00,2.97,6472,6513.15,6555,23.81,773.40,2.80,
tai100_5_1,5493,5495.25,5514,4.96,897.00,1.19,5493,5495.20,5514,4.73,859.10,1.16,
tai20_10_1,1583,1601.10,1625,13.47,995.00,0.77,1583,1595.75,1619,10.67,920.15,0.74,
tai20_20_1,2307,2324.75,2342,8.99,995.00,1.05,2310,2327.05,2351,10.32,875.75,1.02,
tai20_5_1,1278,1279.60,1286,3.28,995.00,0.58,1278,1281.60,1286,4.08,962.85,0.61,
tai50_10_1,3066,3112.55,3138,23.31,973.00,1.15,3044,3097.20,3138,30.97,900.70,1.13,
tai50_20_1,3945,3972.00,3993,15.68,973.00,1.77,3938,3970.80,4009,20.83,868.80,1.73,
tai50_5_1,2729,2729.00,2729,0.00,973.00,0.80,2729,2729.00,2729,0.00,925.00,0.78,
