Instance,LOX_Min,LOX_Avg,LOX_Max,LOX_Std,LOX_AvgGen,LOX_AvgTime,LOX_ls_Min,LOX_ls_Avg,LOX_ls_Max,LOX_ls_Std,LOX_ls_AvgGen,LOX_ls_AvgTime
tai100_10_1,5804,5821.40,5845,13.90,897.00,1.78,5800,5822.60,5837,15.19,780.25,1.74,
tai100_20_1,6457,6505.90,6543,26.57,897.00,2.94,6442,6504.25,6553,26.67,764.25,2.83,
tai100_5_1,5493,5497.95,5514,7.63,897.00,1.21,5493,5497.65,5516,7.80,799.00,1.16,
tai20_10_1,1586,1598.85,1625,12.43,995.00,0.79,1586,1598.85,1627,11.95,862.35,0.75,
tai20_20_1,2310,2327.25,2342,8.78,995.00,1.05,2317,2328.85,2354,11.38,827.75,0.99,
tai20_5_1,1278,1279.60,1286,3.28,995.00,0.62,1278,1280.25,1286,3.58,894.45,0.58,
tai50_10_1,3062,3105.00,3138,23.41,973.00,1.29,3058,3102.00,3138,24.26,851.90,1.22,
tai50_20_1,3941,3978.30,4004,17.15,973.00,1.86,3947,3977.05,3993,14.57,835.10,1.87,
tai50_5_1,2729,2729.00,2729,0.00,973.00,0.89,2729,2729.00,2729,0.00,867.80,0.84,
